start,end,chord
41.000,41.100,BbMin7
41.100,41.400,AbMaj7
41.400,41.500,BbMin7
41.500,41.600,FMin7
41.600,42.400,AbMaj7
42.400,42.800,FMin7
42.800,42.900,DbMaj7
42.900,43.300,AbMaj7
43.300,43.400,FMin7
43.400,43.600,AbMaj7
43.600,43.700,BbMin7
43.700,44.600,AbMaj7
44.600,46.100,FMin7
46.100,46.200,BbMaj7
46.200,48.400,FMin7
48.400,49.600,CMin7
49.600,49.800,FMin7
49.800,50.000,CMin7
50.000,50.100,EbMaj7
50.100,52.000,CMin7
52.000,52.100,DMin7
52.100,52.200,CMin7
52.200,54.400,FMin7
54.400,54.500,A7
54.500,55.100,FMin7
55.100,55.200,AbMaj7
55.200,56.000,FMin7
56.000,56.600,CMin7
56.600,56.700,GMaj7
56.700,59.400,CMin7
59.400,59.500,EMin7
59.500,59.800,CMin7
59.800,60.500,BbMin7
60.500,60.600,FMin7
60.600,63.600,BbMin7
63.600,63.700,BMaj7
63.700,63.900,BMin7
63.900,64.900,BMaj7
64.900,65.000,BbMin7
65.000,65.100,BMaj7
65.100,65.200,EbMin7
65.200,66.500,BMaj7
66.500,66.600,BMin7
66.600,67.300,BMaj7
67.300,67.400,Bb7
67.400,68.100,BbMin7
68.100,68.200,FMin7
68.200,69.100,BbMin7
69.100,69.200,EbMin7
69.200,71.000,BbMin7
71.000,74.800,FMin7
74.800,77.500,DbMin7
77.500,77.600,GbMin7
77.600,77.800,DbMin7
77.800,77.900,GbMin7
77.900,78.500,DbMin7
78.500,79.100,C7
79.100,79.200,Bb7
79.200,79.700,C7
79.700,79.800,CMin7
79.800,80.200,C7
80.200,80.300,CMaj7
80.300,80.900,C7
80.900,81.000,BbMaj7
81.000,81.200,C7
81.200,81.300,DbMaj7
81.300,81.800,C7
81.800,81.900,FMaj7
81.900,82.200,C7
82.200,82.300,CMin7
82.300,83.000,AMaj7
83.000,83.100,AbMin7
83.100,85.100,AMaj7
85.100,85.200,GbMin7
85.200,86.000,AMaj7
86.000,86.700,Ab7
86.700,86.800,AbMin7
86.800,88.300,Ab7
88.300,88.400,FMin7
88.400,89.800,Ab7
89.800,90.300,GbMin7
90.300,90.400,AMaj7
90.400,92.800,GbMin7
92.800,92.900,AbMin7
92.900,93.000,BMaj7
93.000,93.100,AbMaj7
93.100,93.600,GbMin7
93.600,96.200,EMaj7
96.200,96.300,AMaj7
96.300,96.400,DbMin7
96.400,96.500,EMaj7
96.500,96.600,FMin7
96.600,97.200,EMaj7
97.200,97.400,AbMin7
97.400,101.100,GbMin7
101.100,101.600,EMaj7
101.600,101.700,AbMin7
101.700,101.800,EMaj7
101.800,101.900,DbMin7
101.900,102.400,EMaj7
102.400,102.500,AbMin7
102.500,103.300,EMaj7
103.300,103.500,DbMin7
103.500,103.800,EMaj7
103.800,103.900,DbMin7
103.900,104.200,EMaj7
104.200,104.300,DbMin7
104.300,104.800,EMaj7
104.800,104.900,GbMin7
104.900,106.700,AMaj7
106.700,106.800,DbMin7
106.800,108.500,AMaj7
108.500,108.600,DbMin7
108.600,108.900,Ab7
108.900,109.000,DbMin7
109.000,110.600,Ab7
110.600,110.700,AbMin7
110.700,111.100,Ab7
111.100,111.300,FMin7
111.300,111.400,AbMaj7
111.400,112.200,Ab7
112.200,112.300,AbMin7
112.300,112.800,GbMin7
112.800,112.900,AMaj7
112.900,116.100,GbMin7
116.100,116.600,D7
116.600,116.700,FMaj7
116.700,116.800,BMin7
116.800,116.900,D7
116.900,117.000,BMin7
117.000,117.100,D7
117.100,117.200,CMin7
117.200,117.300,DMin7
117.300,118.300,D7
118.300,118.400,C7
118.400,119.300,D7
119.300,119.400,CMin7
119.400,119.800,D7
119.800,119.900,BbMin7
119.900,120.200,DbMin7
120.200,120.300,GMaj7
120.300,120.400,Ab7
120.400,120.700,AbMaj7
120.700,120.800,AbMin7
120.800,121.200,EMaj7
121.200,121.400,AbMin7
121.400,121.700,Ab7
121.700,122.000,DbMin7
122.000,122.200,AbMin7
122.200,122.300,F7
122.300,122.400,AbMin7
122.400,122.500,EMaj7
122.500,122.600,AbMaj7
122.600,122.900,DbMin7
122.900,123.000,FMin7
123.000,123.100,Ab7
123.100,123.200,AbMin7
123.200,123.500,Ab7
123.500,123.600,AbMaj7
123.600,123.800,GbMaj7
123.800,123.900,BMin7
123.900,124.000,GbMaj7
124.000,124.200,FMin7
124.200,124.500,BbMin7
124.500,124.600,EMaj7
124.600,124.800,F7
124.800,124.900,EMaj7
124.900,125.100,F7
125.100,125.200,CMin7
125.200,125.300,F7
125.300,125.600,EMaj7
125.600,125.700,F7
125.700,126.000,FMin7
126.000,126.100,DbMaj7
126.100,126.400,GbMaj7
126.400,126.500,F7
126.500,126.600,DbMaj7
126.600,126.900,G7
126.900,127.000,FMin7
127.000,127.200,CMin7
127.200,127.300,FMin7
127.300,127.500,EMaj7
127.500,127.600,F7
127.600,127.800,FMin7
127.800,127.900,GbMaj7
127.900,128.800,GbMin7
128.800,129.100,BMin7
129.100,129.200,AbMin7
129.200,129.300,EMaj7
129.300,129.400,GbMaj7
129.400,129.500,FMin7
129.500,129.700,DbMin7
129.700,129.800,AMaj7
129.800,130.000,GbMin7
130.000,130.100,AMin7
130.100,130.200,AMaj7
130.200,130.400,GbMin7
130.400,130.500,GMin7
130.500,130.600,AMin7
130.600,130.700,AMaj7
130.700,130.900,GbMin7
130.900,131.000,DMaj7
131.000,131.200,BbMin7
131.200,131.300,EMaj7
131.300,131.400,AMaj7
131.400,131.500,AbMaj7
131.500,131.600,DMaj7
131.600,131.700,GbMin7
131.700,131.900,AbMin7
131.900,132.000,AMaj7
132.000,132.100,AbMin7
132.100,132.300,FMin7
132.300,132.600,AMaj7
132.600,132.700,G7
132.700,132.800,GbMin7
132.800,133.100,AMaj7
133.100,133.300,GbMin7
133.300,133.700,AMaj7
133.700,133.800,DbMin7
133.800,133.900,Ab7
133.900,134.000,AbMin7
134.000,134.300,DbMin7
134.300,134.400,B7
134.400,134.500,CMaj7
134.500,134.600,AbMin7
134.600,134.800,AMaj7
134.800,135.000,CMaj7
135.000,135.900,AbMin7
135.900,136.000,CMaj7
136.000,136.400,AMaj7
136.400,136.500,DbMin7
136.500,137.200,Ab7
137.200,137.300,AbMin7
137.300,137.400,FMaj7
137.400,137.500,EMin7
137.500,137.700,FMaj7
137.700,137.900,Ab7
137.900,138.000,DbMin7
138.000,138.100,EMaj7
138.100,138.300,AbMaj7
138.300,138.400,EMaj7
138.400,138.500,DbMin7
138.500,138.600,EMaj7
138.600,138.800,AbMin7
138.800,138.900,EMaj7
138.900,139.000,EMin7
139.000,139.100,AbMin7
139.100,139.200,DbMin7
139.200,139.300,AbMin7
139.300,139.700,Ab7
139.700,139.800,DbMin7
139.800,139.900,Ab7
139.900,140.000,DbMin7
140.000,140.100,CMaj7
140.100,140.200,DMaj7
140.200,140.300,DbMin7
140.300,140.400,DMaj7
140.400,140.600,DbMin7
140.600,140.700,Ab7
140.700,140.800,AbMin7
140.800,141.000,EMaj7
141.000,141.100,AbMaj7
141.100,141.500,EbMin7
141.500,141.600,EMaj7
141.600,141.800,BbMin7
141.800,141.900,GbMin7
141.900,142.000,DMaj7
142.000,142.200,DbMin7
142.200,142.300,EMin7
142.300,142.400,BMin7
142.400,142.600,EMin7
142.600,142.900,DMin7
142.900,143.000,BMin7
143.000,143.900,DbMin7
143.900,144.500,AMaj7
144.500,144.700,D7
144.700,144.900,EMin7
144.900,145.000,DMin7
145.000,145.200,EMin7
145.200,146.300,EMaj7
146.300,147.100,EMin7
147.100,147.200,Db7
147.200,147.600,EbMin7
147.600,147.700,BbMin7
147.700,147.900,EbMin7
147.900,148.000,EMaj7
148.000,148.300,DbMin7
148.300,148.400,DMin7
148.400,148.600,EMin7
148.600,148.700,DbMin7
148.700,148.800,DMin7
148.800,148.900,DbMin7
148.900,149.000,DMin7
149.000,149.200,DbMin7
149.200,149.300,E7
149.300,149.361,GbMin7
